№,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
11,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Какой бы ужин я ни готовила, семья всегда просит готовить завтрак. И вот почему","Оказалось, всё дело в запахе. Ну очень им нравится запах моих завтраков! Тогда я подумала, что они просто не могут почувствовать весь аромат моего ужина, потому что у мужа нос не очень большой, и вся семья пошла носом в него, даже я и моя сестра. Но потом сестра обнаружила находку на вайлдбериз, благодаря которой я заставила их не только наслаждаться ужином, но и чаще заниматься спортом!","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Эффективная фиксация, Повышает качество сна, Незаменим в спорте, В коплекте 4 расширителя и 30 пластырей, Не вызывает раздражений",Теперь рекомендую всем. Артикул в описании!
12,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Я не верила, что такая фигнюшка может изменить качество спорта и йоги. Но она изменила!","Муж сначала смеялся, когда я вставила это в нос. А потом начал забирать себе, надевать на работу, и теперь вся их компания проводит с этими девайсами целый день, и даже узнаёт друг друга в общественном транспорте! А нашла я её на вайлдберриз - сейчас расскажу, что это такое и зачем это нужно","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Водонепроницаемый, 15 дней свежего дыхания в одной пачке, Устраняет храп, Облегчает заложенность носа, 4 размера — под любой нос",Теперь носовая ассана даётся мне легко.  Артикул оставила в описании!
13,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Сегодня вместо зарплаты на работе подарили вот такой домашний цветок.
(тут нужно показать почти голую ветку, можно даже без цветка - любую с улицы)","Сначала удивилась, что не чувствую его запаха и даже подумала, что подхватила корону. Но когда рассказала коллегам, они убедили меня в том, что это редкий вид китайского женьшеня, который известен слабым, едва уловимым запахом. Принюхалась - и вправду, пахнет! Тогда я решила усилить обоняние и пошла на вайлдбериз, искать, что мне поможет.  И обнаружила вот это приспособление, которое помогает наслаждаться цветком каждый день.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","В коплекте 4 расширителя и 30 пластырей, Эффективная фиксация, Повышает качество сна, Не вызывает раздражений, Устраняет храп",Теперь кайфую от цветка! Артикул оставила в описании!
14,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Знаете таких особ, от которых духами пахнет за километр?","Обычно они мне не нравятся, но моя коллега на днях пришла в духах, которыми пахнет весь офис, и они сразили меня на повал. Сначала думала, это кокос-ваниль, но принюхалась и поняла, что это тыква. За стойкий запах коллегу уволили и я не успела спросить, что это за духи. Но аромат в офисе остался, и тогда я решила, что чтобы наслаждаться запахом, мне нужно усилить мое обоняние. Пошла на вайлдбериз, и нашла вот это!","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Облегчает заложенность носа, Незаменим в спорте, 15 дней свежего дыхания в одной пачке, Водонепроницаемый, 4 размера — под любой нос",Ну и запахи стали в 100 раз сильнее! Артикулом делюсь в описании!
15,Юлия,Расширитель для носа,,https://www.instagram.com/reel/DJDuue-s6h4/?igsh=MXEybm94ZDE0N2lreA==,повторяем рилс,"повторяем рилс, адаптируя под себя (не дословно)","повторяем рилс, адаптируя под себя (не дословно)","повторяем рилс, адаптируя под себя (не дословно)","повторяем рилс, адаптируя под себя (не дословно)"
16,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Если бы я знала об этом раньше — не удаляла бы аденоиды. Жаль, что врачи скрывают такой способ лёгкого дыхания.","Операция - это крайняя мера, и очень болезненная. Удаляют их через горло, проникают в носовую полость и срезают. Очень неприятно! А ведь всё можно решить проблему мягче, если правильно исследовать вайлдберриз.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Устраняет храп, Облегчает заложенность носа, Повышает качество сна, Эффективная фиксация, Не вызывает раздражений",Теперь дышу свободно! Артикулом делюсь в описании!
17,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Это устройство заменило мне аптечку от насморка.,,,,
18,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Муж перестал храпеть. Я думала, это невозможно.",,,,
19,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Спокойно переношу аллергию на пыльцу, и это без таблеток.",,,,
20,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Я ношу его даже на тренировку. Дыхание стало в разы мощнее.,,,,
21,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Любовница мужа пришла в ярость, когда это увидела",,,,
22,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Развожусь с мужем и выхожу за эту штуковину!,,,,Теперь дышу свободно - и делюсь артикулом в описании
23,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Муж спросил, сколько я трачу на вайлдбериз, и...",,,,
24,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Достаем предмет из кастрюли,,,,
25,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Я ношу его на учёбу — мозг реально работает лучше. ?,Заложенный нос = кислородное голодание.,,,
26,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Учитель физики,Там не просто пластиковый обод — внутри вставлены магниты.,,,
27,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Капли — временный эффект и зависимость.,,,,
28,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
29,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Не думала, что бытовые ссоры так просто убрать из семейной жизни","Поссорились вчера утром. Я вытираю, а муж снова ставит кружку мимо сушилки. Потом мокрые банки, тарелки — всё в лужах. И тут я вспомнила один неловкий разговор в кафе — официантка поделилась странным лайфхаком. Я не думала, что это сработает, и вот мы живем без ссор уже 4 часа с тех пор, как я заказала на вайлдберриз то, что она назвала «переворотом на кухне». ","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Впитывает всё
Не скользит
Легко обрезать под любой размер
Защита от бактерий и грибков
Под обувь в прихожую

",У меня на кухне больше нет ссор — артикулом делюсь в описании!
30,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Мы в семье едим рыбу только в ресторанах, и раньше я бы посоветовала вам делать также. Но только не теперь.","Каждый раз было одно и тоже  - куча воды и рыбный запах по всей кухне. А если в лужу наступит кот, то и по всей квартире! Поэтому с готовкой рыбы я завязала - ели в кафе, пока кот грустил дома. Тогда кот не выдержал, и решил устроить нам сюрприз. Смахнул телефон со стола, и случайно открыл вайлдберриз с вот этим.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не пропускает воду
Легко мыть (протереть/стирка)
Универсальный — под разморозку рыбы
Легко сушить (на батарее до 60°C)
Под зубные щетки",Если тоже боитесь готовить рыбу - артикулом коврика делюсь в описании
31,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Муж подумал, что это коврик для ног.","И пытался встать на него после душа. Серьезно. А я вообще-то сушу на нём бокалы и сковородки. Он удивился, почему «такая мягкая штука» лежит на столе. Но я не показала, что это — оставила интригу. Встала пораньше, и спряталась за дверью, чтобы подкараулить мужа на кухне, застукав с поличным. Дождалась момента, когда он прольёт воду с кастрюли, подкараулила за дверью, и наконец эта находка с вайлдберриз получила шанс себя проявить - муж снова не вытер посуду после мытья и залил столешницу!","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не скользит
Не пропускает воду
Легко обрезать
Легко мыть
Под посуду",Артикулом делюсь в описании!
32,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Начала подозревать мужа в самом страшном, и решила его проверить.","Для этого оставила его ночью, сделала вид, что ушла в ванную, а сама спряталась на кухне. Через два часа с половиной часа он туда пришел! Налил себе чай и снова оставил брызги на столе!
Теперь я знаю, кто виноват в чайных потёках. Но мужа уже не исправить, и я решила действовать мудро. Зашла на вайлдберриз, и еще через пару часов наконец-то наткнулась на решение моей проблемы.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Защищает от воды
Защита от бактерий и грибков
Универсальный — под цветы
Легко сушить
Впитывает всё",Чтобы вы не искали коврик так долго - артикулом делюсь в описании!
33,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Муж начал мыть посуду… добровольно. Как я этого добилась?,"Я думала, это невозможно. Но оказалось, что дело всего лишь в подходе. Однажды утром к нам пришел его коллега, и я подслушала их разговор. Говорили что-то про то, что скоро жен заменят роботы. Тогда до меня дошло, как мой муж погружен в технологии, и я сразу же пошла на вайлдберриз! А когда посылка пришла, сказала ему, что это новый супертехнологичный наноковрик. Он сразу решил попробовать!","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко мыть
Легко сушить
Не скользит
Под обувь
Универсальный — под разморозку рыбы","Не знаю, заменят ли жен роботы, но меня на кухне заменил муж. Артикулом делюсь в описаниии!"
34,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Я думала, что это коврик для мышки. Но оказалось, что это совсем не так","Увидела у подруги — лежит между плитой и раковиной. Спрашиваю: «Зачем ты свой коврик с рабочего стола сюда притащила?» Она говорит: «Ты сейчас посмеёшься, но это самая полезная вещь на кухне», и рассказала, как перестала стирать тряпки. Я засомневалась. Но потом вспомнила, как однажды вытерла стол майкой мужа - и решила, что лучше уж я попробую что-то новое, чем снова такое повторю. Послушала подругу и скорее заказала посылку на вайлдберриз.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не пропускает воду
Защита от бактерий
Легко обрезать
Под зубные щетки
Впитывает всё",👀 Как я жила без него раньше — не понимаю. Артикул в описании!
35,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Посмотрела видео, с красивой подачей кофе, и решила сделать такие же рисунки. Я личность творческая!
(тут кадры кухни, где повсюду разлито кофе)","На курсы решила не идти - учиться там нечему, и освоить технику можно дома. Только начало получаться, как я поняла, что кофе уже повсюду, и нужно что-то делать. Позвонила знакомой в кофейню, и она рассказала, что они тоже постоянно заливают кухню, особенно когда делают такие же сложные рисунки. А однажды даже залили сразу трех посетителей. Но они давно решили эту проблему с помощью этой находки на вайлдберриз, потому что они - профессионалы.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Защищает от воды
Не скользит
Универсальный — под цветы
Легко мыть
Легко сушить",Теперь мое творчество ничто не сдерживает. Артикулом я делюсь в описании!
36,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Я положила это на стол — и подруга перестала звать меня «грязнуля».,"У неё вечно претензии — то капли на сушилке, то «развела болото» под чайником. Но с этой штукой она вошла и сказала: ""Ого, ты сама придумала?"" Я промолчала - не могла же я рассказать, что это подарок от её нового поклонника. Пару дней назад он зашел в к нам гости, увидел след от чая и заказал мне это на вайлдберриз.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Впитывает всё
Не пропускает воду
Под обувь
Легко обрезать
Легко сушить

","Сестра теперь тоже его себе заказала, и с вами делюсь Артикулом в описании!"
37,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Посмотрела видео, с красивой подачей кофе, и решила сделать также.
(тут кадры из этого видео, примерно на 00:13, чтобы не было рисунка до конца, а то ограничат трафик на рилсе: https://vk.com/video-63758929_456261913?t=15s&ref_domain=yastatic.net )","Хотела записаться на курсы бариста, но решила, что учиться там нечему, и решила освоить технику дома. К сожалению, не вышло.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко мыть
Защита от грибков
Под зубные щетки
Универсальный — под посуду
Не скользит",Теперь мое творчество ничто не сдерживает. Артикулом я делюсь в описании!
38,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Раньше муж хранил наски под столом на кухне, но теперь кладет их только под подушку.","Я долго не могла понять, зачем он это делает. Искала в интернете, читала народные приметы, и не могла найти ответ. Через неделю спросила у мужа, и он арссказал, что его носки постоянно промокают на кухне из-за воды с посуды. И тогда я вспомнила, как подруга рассказывала мне про свою находку на вайлдберриз, которая помогла ей побороть лужи на полу.
","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не пропускает воду
Под разморозку рыбы
Легко сушить
Защита от бактерий
Впитывает всё",Теперь мы спим без носков под подушкой. Артикулом делюсь в описании!
39,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Недавно застряла в барабане стиральной машины.,"Зашла в ванную, в которой кто-то опять не вытер полы после душа, подскользнулась - и попала прямо туда! Хорошо еще, что она не начала работать, потому что я не большая любительница аттракционов, в отличие от нашего кота, который однажды в ней прокатился и теперь лезет туда перед каждой стиркой. Рассказала про случай подписчикам, и один из них поделился вот такой удивительной находкой на вайлдбериз.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Впитывает всё, Легко мыть, Под посуду, Защита от бактерий и грибков, Легко обрезать под любой размер",Делюсь артикулом в описании!
40,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Я больше никогда не пойду к психологам, и вам не советую!","Как говорила моя мама - не может быть такой проблемы, которую не решит уборка! И она была права. Пять месяцев назад нас начали топить соседи, и с тех пор небольшая струйка сочилась с потолка прямо на кухню. Я пробовала и психологов, и уезжала из дома... Это бесило меня жутко, но вот наконец-то решила сходить к ним разобраться. Вернулась в полной гармонии, ведь они рассказали мне про эту находку на вайлдберриз.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не пропускает воду, Не скользит, Универсальный — под цветы, Легко сушить, Защищает от воды",Артикулом на вайлдберриз делюсь в описании!
41,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Мой муж вернулся из командировки. Хотела романтичную встречу на кухне, но он зашел и побледнел.","Сказал, что конечно любит меня, но с посуды накапало слишком много воды, и теперь это сбивает его настрой. Но поделился, что как раз у соседки в командировке видел очень интересную находку. Нашли её на вайлдберриз, сразу же заказали, и теперь сушим посуду только с ней. ","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко мыть, Легко сушить, Впитывает всё, Под разморозку рыбы, Не пропускает воду",Артикулом делюсь в описании!
42,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Это топ-находка с вайлдбериз, которую я беру уже не в первый раз, и она действительно работает!","А рассказала мне о ней моя подруга, когда я пожаловалась ей на постоянные лужи после душа и всю эту жуткую плесень в ванной.
(тут нужны жесткие кадры плесени)
Сначала она не хотела говорить, чтобы мой муж продолжал ходить мыться к ней, но потом я подсмотрела её корзину в вайлдберриз, и сразу поняла, в чем дело.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Защита от бактерий и грибков, Легко обрезать под любой размер, Под обувь в прихожую, Не скользит, Под посуду",Теперь муж моется только дома. Артикулом делюсь в описании!
43,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Девочки, это просто ужас - по всей ванной сплошная плесень и грибки!","Слышала, что такое бывает, но не ожидала, что это грозит и мне. Самое ужасное, что после мытья ужасно чешутся и ноги, недавно думала. дочешу до кости. С чесоткой в ногах еле доковыляла до мамы, и она подсказала мне, что это от того, что в важной слишком влажно. Мудрая женщина, что сказать! Так она еще и посоветовала мне эту находку на вайлдбериз. Я сразу же заказала и теперь могу ходить нормально, и не чесать пятки каждые пять минут.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Универсальный — под зубные щетки, Легко мыть, Защищает от воды, Впитывает всё, Не скользит",Ванная сухая и без плесени! Артикулом коврика делюсь в описании!
44,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Многие девченки прысылали мне эти видео, чтобы я разоблачила, как это работает на самом деле.","Тут показывают какой-то непонятный коврик, который якобы может впитать в себя целую кружку воды. Честно, мне даже самой интересно стало! ПОэтому я не стала терять времени и зашла на вайлдбериз, чтобы протестировать его самой и показать всем. Пять дней спустя он пришел, и каково же мое удивление! ","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не пропускает воду, Защита от бактерий и грибков, Легко сушить, Легко обрезать под любой размер, Под цветы","Коврик себя оправдал, поэтому артикулом делюсь в описании!"
45,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"У каждой девушки бывают дни, когда убираться дома совсем не хочется.","И обязательно найдется кто-то, кто опять прольет что-то на кухне. Что  поделаешь, семья большая, а я в ней одна! Так я раньше думала, пока однажды ко мне не пришла сестра, чтобы в очередной раз разлить кофе. Я уже хотела выйти из себя, но сестра напомнила мне, что все делает из лучших побуждений. И рассказала про свою недавнюю находку на вайлдбериз, которая навсегда решила проблемы с любыми жидкостями на кухне. Я не стала медлить, и сразу же сделала заказ.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Под разморозку рыбы, Под посуду, Не скользит, Защищает от воды, Легко мыть",Артикулом делюсь в описании!
