№,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
11,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Как же достали эти самокатчики! Снова чуть не сбили на тротуаре — влетел самокатчик.,"Я иду с ребёнком, обычная прогулка. И тут — сзади, без предупреждения — самокат на полной скорости. Я в панике, даже крикнуть не могу. Понимаю, что сжалась так, что не могу дышать. Мне подруга подсказала одну находку с Вайлдбериз — и я сразу же заказала её. Делюсь с вами!","Далее проводим распаковку продукта, показываем ключевые триггеры","Устраняет храп, Облегчает заложенность носа, Повышает качество сна, Эффективная фиксация, Не вызывает раздражений","Артикул оставила в описании — проверьте, это не просто удобство, это ваше спокойствие."
12,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Когда на тебя несётся огромная собака без поводка…,"Я боюсь собак. Особенно больших. А в парке — классика: «Он не кусается». Но я уже вся в панике. У меня дыхание сбивается, и я не могу восстановиться. Тогда я решила попробовать одну вещь с вайлдберриз — помогает вернуться в себя буквально за пару вдохов.","Далее проводим распаковку продукта, показываем ключевые триггеры","Водонепроницаемый, Не вызывает раздражений, 4 размера — под любой нос, В коплекте 4 расширителя и 30 пластырей, Повышает качество сна","Артикул в описании — попробуйте, эффект чувствуется сразу."
13,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Ребенок для меня всегда на первом месте - а для вас?,"Я — мама. И это счастье. Но иногда я так зациклена на нём, что сама перестаю… существовать. Это выматывает. Я почувствовала, что даже дыхание у меня стало поверхностным. Мне подсказали одну вещь с Вайлдбериз — и я заказала. С тех пор хотя бы дышать стала глубже.","Далее проводим распаковку продукта, показываем ключевые триггеры","Незаменим в спорте, Водонепроницаемый, Эффективная фиксация, Устраняет храп, Облегчает заложенность носа","Делюсь артикулом в описании — если вы мама, вы поймёте."
14,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Хватит послыать бабушек с ребенком в поликлинику вместо себя!,"Стою с ребёнком в поликлинике, очередь огромная. И тут — бабушка влетает: «Я только спросить!» Все уже привыкли, но у меня в такие моменты внутри закипает, и, главное — снова тяжело дышать. Всё напряжение — в груди. Я начала замечать, как часто это повторяется в разных ситуациях. Тогда я попробовала одну штуку, которую нашли на Вайлдбериз — и вы не представляете, как она помогает буквально раскрыться. Внутри и снаружи.","Далее проводим распаковку продукта, показываем ключевые триггеры","Повышает качество сна, 15 дней свежего дыхания в одной пачке, Не вызывает раздражений, Эффективная фиксация, 4 размера — под любой нос",Артикул оставила в описании — оно правда работает.
15,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Квадроберы - это, конечно, забавно, но куда смотрят их родители?","Раньше я осуждала. Особенно тех родителей, которые потакают им - водят на поводке, и так далее. Потом родила. И когда твой малыш срывается с места к дороге — ты готова привязать хоть к себе, хоть поводком! Но меня в таких ситуациях всегда парализует страх, я забываю дышать. Это прямо физически ощущается. Нашла на Вайлдбериз штуку, которая помогает справляться с этим — помогает дышать глубже и ровнее. Меньше паники — больше контроля.","Далее проводим распаковку продукта, показываем ключевые триггеры","Облегчает заложенность носа, В коплекте 4 расширителя и 30 пластырей, Водонепроницаемый, Незаменим в спорте, Повышает качество сна","Артикул в описании — мамы, это очень поддерживает."
16,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,А вы покупаете своим детям новые айфоны?,"Все шипят: «Куда тебе айфон?!» А я знаю, как тяжело он копил. Экономил на завтраках, и вот наконец скопил на айфон! Но вот эти разговоры, комментарии… Всё время приходится оправдываться. Я замечаю, как сжимаюсь внутри, задыхаюсь от напряжения. Начала использовать одну находку с Вайлдберриз— помогает буквально дышать легче, когда всё вокруг давит.","Далее проводим распаковку продукта, показываем ключевые триггеры","Устраняет храп, 4 размера — под любой нос, Не вызывает раздражений, 15 дней свежего дыхания в одной пачке, Эффективная фиксация","Артикул — в описании. Поддержка, которая всегда с тобой."
17,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Хватит уже навешивать ярлыки! Сколько можно обзывать людей ""яжематерью""?","Когда борешься за место в автобусе с ребенком, за тишину в ресторане, чтобы он поспадл — ты часто становишься той самой «яжематерью». Иногда после дня с ребёнком я даже дышать не могу — настолько вымотана. Это выгорание. Это даже медитациями не лечится, но одна штука с Вайлдберриз реально помогает мне восстановить дыхание — буквально физически. И это уже многое меняет.","Далее проводим распаковку продукта, показываем ключевые триггеры","Водонепроницаемый, Незаменим в спорте, 15 дней свежего дыхания в одной пачке, Эффективная фиксация, В коплекте 4 расширителя и 30 пластырей","Оставляю артикул в описании — попробуйте, особенно если вы мама."
18,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Как вы считаете, все мужья - абьюзеры?","Мой - точно нет, но иногда мы ругаемся, и мне может стать плохо. Я не могла дышать, как будто что-то сжимает. Я поняла, что давно в таком напряжении. Тогда я нашла одну штуку с вайлдберриз, которую посоветовала подруга — она помогает дышать глубже. Кажется мелочью, но это как выдох — наконец-то настоящий.","Далее проводим распаковку продукта, показываем ключевые триггеры","Повышает качество сна, Облегчает заложенность носа, Эффективная фиксация, Не вызывает раздражений, Водонепроницаемый","Артикул оставила в описании. Это не просто гаджет, это поддержка."
19,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вы тоже считаете, что мужчина просто обязан водить любимую в ресторан хотя бы 2-3 раза в неделю?","Я всегда считала, что мужчина должен . А оказалось, бывает и всего 1 раз в неделю, и даже реже! В такие недели без кафешек сидела я дома — и не могла дышать. Физически. Грудь будто в тисках. Подруга прислала ссылку с Вайлдбериз, я попробовала — и правда, облегчение почти сразу. Теперь это всегда со мной.","Далее проводим распаковку продукта, показываем ключевые триггеры","Устраняет храп, В коплекте 4 расширителя и 30 пластырей, 15 дней свежего дыхания в одной пачке, 4 размера — под любой нос, Незаменим в спорте",Артикул — в описании. Помогает даже в тяжёлые дни.
20,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Звонок от мамы — и я уже зажата. Ох уж это требовательное поколение!,"Даже если ничего не случилось. Просто голос — и я напрягаюсь. У меня реально в такие моменты перехватывает дыхание. Я решила с этим работать. Начала с простой штуки с вайлдберриз. Может, выглядит и смешно, но это дало эффект. Как будто появилось больше воздуха и... чуть больше свободы.","Далее проводим распаковку продукта, показываем ключевые триггеры","Облегчает заложенность носа, Не вызывает раздражений, Водонепроницаемый, 4 размера — под любой нос, Устраняет храп",Оставила артикул в описании. Иногда простое — самое действенное.
21,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,«Ты должен помогать родителям». А если ты сам не вывозишь?,"Я стараюсь, и мои родители мной довольны. Купила им квартиру и три машины - для города, дачи и третью про запас. Но когда слышу в упрёк от сторонних людей, — внутри всё сжимается. Иногда после таких разговоров я не могу уснуть, потому что не хватает воздуха. Буквально. Тогда я попробовала одну вещь с вайлдберриз — простую, но очень действенную. Она помогает вернуть дыхание в моменте. А с ним — и немного покоя.","Далее проводим распаковку продукта, показываем ключевые триггеры","Эффективная фиксация, Повышает качество сна, Незаменим в спорте, В коплекте 4 расширителя и 30 пластырей, Не вызывает раздражений",Артикул — в описании. Работает даже когда нервы на пределе.
22,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Женщина за рулем, а мужчина на кухне - это норма. Даже не представляю, как вы живете по-другому!","Каждый день из-за этого слышу: «Ты не такая». И в какой-то момент перестаёшь просто дышать. Всегда напряжена, как будто защищаешься. Я начала искать хоть что-то, что помогает вернуться в себя. И вот — простая находка с вайлдбериз. Использую утром и вечером, особенно когда на грани.","Далее проводим распаковку продукта, показываем ключевые триггеры","Водонепроницаемый, 15 дней свежего дыхания в одной пачке, Устраняет храп, Облегчает заложенность носа, 4 размера — под любой нос",Артикул в описании — пусть станет чуть легче прямо сейчас.
23,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Мужчина в декрете — а женщина пашет?,"В Европе это давно тренд. Иногда в страшных снах вижу, что и у нас это когда-то распространится. Но так и представляю, как мужчин начнут упрекать, что это «не по-мужски», а они начинут задыхаться от злости. Хорошо, что они не сидят на вайлдберриз, и не знают об этой находке, ведь тогда они перестали бы задыхаться и все ушли в декрет!","Далее проводим распаковку продукта, показываем ключевые триггеры","В коплекте 4 расширителя и 30 пластырей, Эффективная фиксация, Повышает качество сна, Не вызывает раздражений, Устраняет храп","Оставила артикул в описании. Делюсь, вдруг вам тоже поможет."
24,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"«Декрет — не работа». Ага, скажите это моей пояснице и бессоннице.","Когда третий день без сна, а тебе говорят: «Ты дома сидишь», — это очень вызывающее заявление. В теле — сплошное напряжение. Даже дышать нормально не можешь. Я нашлана вайлдберриз  одну маленькую помощь для дыхания. И теперь свободное дыхание стало для меня нормой жизни. ","Далее проводим распаковку продукта, показываем ключевые триггеры","Облегчает заложенность носа, Незаменим в спорте, 15 дней свежего дыхания в одной пачке, Водонепроницаемый, 4 размера — под любой нос",Артикул в описании!
25,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Только карьерой живешь — значит, ты пустышка?","Я люблю свою работу и большее время жизни уходит у меня именно на неё. Но когда слышу: «Ты просто не умеешь жить, раз не хочешь семью» — внутри будто блок встаёт. Начинается тревога, дыхание сбивается. В какой-то момент я поняла, что мне физически тяжело справляться. И нашла решение — с ним просто легче дышать. В прямом смысле.","Далее проводим распаковку продукта, показываем ключевые триггеры","Устраняет храп, Облегчает заложенность носа, Повышает качество сна, Эффективная фиксация, Не вызывает раздражений",Артикул в описании!
26,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Как жедостали все эти блогеры с напускным успехом в своих рилсах!,"Правда в том, что большинство из всех этих блогеров только создают картинку, что у них все хорошо. И большинство еще и пытается что-то продать. Раньше верила в их рилсы и когда смотрела, буквально замирало дыхание. А дышать правильно - очень важно! Именно поэтому добавила в вишлист подарков на день рождения что-то, что помогло бы мне смотреть рилсы, и при этом дышать свободно! Вишлист не подвел - однажды мне подарили одну вещь с вайлдберриз, и я удивилась — она реально помогает. Просто дышать. А с этим приходит и немного покоя.","Далее проводим распаковку продукта, показываем ключевые триггеры","Водонепроницаемый, Не вызывает раздражений, 4 размера — под любой нос, В коплекте 4 расширителя и 30 пластырей, Повышает качество сна",Артикул в описании!
27,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Ну сколько можно жаловаться на зумеров! Якобы они все хотят много денег и не хотят работать. Посмотрите, что происходят в школах и вузах - да они просто выгорают раньше времени!","Мой племянник — отличный парень. Но уже в 17 — тревожность, бессонница. Всё из-за постоянного давления: «Ты должен». И я вспомнила, как сама не могла дышать от стресса в универе. Тогда я бы отдала всё за такой инструмент, как сейчас. Нашла его на вайлдберриз, и теперь хожу с ним даже в театр - согласитесь, там бывает очень сложно дышать из-за вековой пыли.","Далее проводим распаковку продукта, показываем ключевые триггеры","Незаменим в спорте, Водонепроницаемый, Эффективная фиксация, Устраняет храп, Облегчает заложенность носа",Оставляю артикул в описании — порадуйте своих зумеров!
28,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Есть блогерки, дизайнерки, актёрки... Тогда я, получается, мамка!? Кого-то бесят такие феминитивы, а меня бесит то, что когда выходишь на пробежку, становится тяжело дышать.","Я — утренняя бегунка. И, да, мне комфортно с этим словом. Но каждый раз, когда слышу насмешку или «ну началось» — у меня внутри сжимается. Даже не из-за слова, а потому что снова надо что-то доказывать. Я нашла одну штуку на вайлдберриз, которая помогает мне просто дышать свободно — и на пробежках, и в моменты стресса.","Далее проводим распаковку продукта, показываем ключевые триггеры","Повышает качество сна, 15 дней свежего дыхания в одной пачке, Не вызывает раздражений, Эффективная фиксация, 4 размера — под любой нос","В общем, помогает, когда хочется выдохнуть. Артикул — в описании."
29,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Как же достали эти комментарии, осуждающие материнство! Лю-ди-и, будьте терпимее!","Мы с мужем Обожаем детей! И это наше право. Но давление извне порой буквально сбивает с дыхания. В моменты тревоги я использую одну штуку, которую нашла на Вайлдбериз. Она простая, но помогает справляться с телесным напряжением. А за ним — и с мыслями.","Далее проводим распаковку продукта, показываем ключевые триггеры","Облегчает заложенность носа, В коплекте 4 расширителя и 30 пластырей, Водонепроницаемый, Незаменим в спорте, Повышает качество сна",Иногда дышать легче — значит жить легче. Артикул оставила в описании. 
30,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Была на собеседовании и опять собрала кучу редфлагов: «Мы — семья», «переработки — норма», «по ТК не работаем»...","Пополнила коллекцию редфлагов, где уже были: «У нас все живут на работе» и «задержка зарплаты - проблема сотрудника, а не компании». Сейчас смешно, но там я просто сжалась и переъватила дыхание. Но сейчас я нашла, что помогает быстро восстановиться после стресса — и просто дышать полной грудью. Заказала на вайлдберриз, и теперь хожу на собеседования только с этой штукой!","Далее проводим распаковку продукта, показываем ключевые триггеры","Устраняет храп, 4 размера — под любой нос, Не вызывает раздражений, 15 дней свежего дыхания в одной пачке, Эффективная фиксация",Артикул — в описании. Забирайте — пригодится точно.
31,Юлия @shipulya78,Расширители для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Сколько нынче курсов по дизайну! А чему там учиться? Дизайнер — это вообще не настоящая профессия.,"Я сама дизайнер. Если обобщить, то я просто двигаю картинки. И когда мне говорят, что то, что я делаю - сложная профессия и этому нужно учиться — внутри поднимается обида, ведь люди просто обесценивают талант, прикрываясь какой-то ""Профессией"". Так устала спорить со всеми в соц. сетях, что У меня начались проблемы со сном, дыханием. Но сейчас я нашла решение на вайлдберриз, которое помогает справиться.","Далее проводим распаковку продукта, показываем ключевые триггеры","Водонепроницаемый, Незаменим в спорте, 15 дней свежего дыхания в одной пачке, Эффективная фиксация, В коплекте 4 расширителя и 30 пластырей","Если от этого рилса вас тоже бомбит - выдыхайте! Артикул оставила в описании, он поможет."
32,Евгения,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Вечер. Я открываю окно — надеюсь проветрить, потому что дети катались на электросамокатах, и только что прибежали домой с улицы, все вспотевшие. А с улицы — не только свежий воздух, но и рой комаров. Комары, пыль, шум самокатчиков под окном — всё сразу. Подумала - что, летом уже и окно не открыть? Тогда мне подруга... подсказала находку на вайлдбериз, и я сразу же заказала её. Делюсь с вами!","Далее проводим распаковку продукта, показываем ключевые триггеры","Эффективная защита от насекомых

Лёгкий монтаж

Отличная вентиляция

Спокойный сон и отдых

Долговечность
",Артикул в описании — пусть комары остаются снаружи.
33,Евгения,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Мой сын очень боится собак, и я вместе с ним. И каждый раз, когда я проветриваю, боюсь, что через открытое окно влетит не только пыль, но и чужая агресивная собака — будет лай, крики, а еще с ней влетят комары. У нас прямо под окнами детская площадка, и собаки без поводков гуляют там постоянно. Но я нашла одну штуку на вайлдберриз, с которой дома стало гораздо тише, чище и спокойнее - и главное, она даже собаку через окно не пропустит!","Далее проводим распаковку продукта, показываем ключевые триггеры","Универсальность

Комфорт без укусов

Эстетичный дизайн

Лёгкий монтаж

Подходит для любых условий
",Артикул — в описании. Установила и выдохнула.
34,Евгения,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Мы живем на первом этаже. Летом окна открыты, и весь двор — как будто в квартире. Особенно бабули у подъезда, которые обсуждают ВСЁ. Но особенно часто вокруг них вьются мухи и комары — и всё это летит в дом. Сначала всем подъездом долго думали, как от них избавиться - и красили скамейку,  и ставили рядом пахучую мсорку - не сработало, а от мусорки еще и несло в дом. Но я нашла решение на вайлдберриз. Оно простое и ставится за 5 минут.","Далее проводим распаковку продукта, показываем ключевые триггеры","Улучшение качества жизни

Надёжная защита от комаров

Лёгкость установки

Можно использовать в путешествиях

Эстетичный внешний вид
",Артикул в описании — проветривайте без нервов.
35,Евгения,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"У меня ребенок-непоседа. Летом постоянно бегает по дому, потеет, чешется, и на него слетаются комары! Я даже не могу открыть окно — сразу налетают, даже днем! Один раз он так расчесал ногу, что пришлось мазать дорогущей мазью по совету врача. После этого... я просто поставила одну вещь свайлдберриз. И наконец открываю окна, не опасаясь за бюджет.","Далее проводим распаковку продукта, показываем ключевые триггеры","Подходит для любых условий

Долговечность

Отличная вентиляция

Лёгкий монтаж

Уютная атмосфера в доме",Артикул — в описании. Нашла — делюсь.
