Ясно ,,,,Локации
,10.Сложность с новыми отношениями,"_На первом свидании я предложила партнеру сразу обсудить психологические травмы. Он сказал: «Я просто хотел посмотреть кино ». Я извинилась, попросила оплатить счёт и ушла. Дома я снова заполнила таблицу, куда вносила мужчин по шкале «эмоциональной доступности». Он получил 2 балла за улыбку и минус 4 за фразу «не люблю копаться в себе». Я пошла в Ясно — и постепенно стала учитьяся общаться без таблиц. Сейчас я не ищу партнёра, я просто живу Но Excel всё равно держу открытым — на всякий случай."" Кстати, в ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"кафе
сложная в экселе с мужскими именами и баллами"
,11.Зависимость от «переписок»,"Мы никогда не виделись и поддерживали отношения на расстоянии. Он был просто иконкой в Telegram с котом в шапке. Но я влюбилась. Мы переписывались месяц, потом он пропал. А я — не могла остановиться. Писала: «Эй», «Ты жив?», «Извини, это не тебе». Потом отправила голосовое, где рассказывала свой сон. Двадцать минут. Поняла, что сэтой привязанностью что-то решать - через день я пошла в Ясно. Сейчас я читаю свои сны только подруге. Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,переписка в телеграм (лучше голосовыми)
,12.Неприятие тела,"_Я не ходила в бассейн два года. Сначала — из-за ног, они такие кривые! Потом — из-за коленей: торчат, как коряги. Потом — из-за подозрительно круглого пупка. Вообще странная часть тела! Потом понемногу начала ходить в бассейн ночью, и только в шапке и халате, чтобы просто постоять рядом с водой. Там был охранник. Он спросил: «Вы утопиться хотите?» и вызвал администратора. Ну а я поняла, что так больше нельзя и вызвала психолога. Нашла его на Ясно. Сейчас я снова плаваю. Иногда даже в открытом купальнике!  Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"кадры себя в зеркале, оценивающие"
,13.Навязчивая идея похудеть,"Недавно решила худеть и ела салат из льда. Такой уже у меня рацион. Капуста, вода, уксус - позволяла себе иногда, но не часто.. Взвешивалась по 4 раза в день. Была уверена: когда вес станет определённым — меня полюбят. А пока — надо страдать. На Новый год я съела мандарин и расплакалась, что не справляюсь, а потом начала заедать этот стресс, и меня как прорвало! Съела торт целиком! Тогда я поняла, что что-то туут не так - пошла в Ясно, записалась онлайн - оказывается, там есть специалистц именно по РПП! Сейчас я ем макароны. И не извиняюсь за это, при этом - худею. Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"салат из льда
пляж"
,14.Ненависть к своей внешности,"Знали, что можно изменить свою сдьбу, буквально? ОКазывается, форма ушей определяет наш жизненный путь. Я однажды всерьёз поаерила, что мои уши портят мою судьбу. Я рассматривала их в зеркале, пыталась клеить к голове, искала в интернете «украшения, отвлекающие от ушей», и даже задумалась о пластике. Моя мама сказала, что это «шиза». Я обиделась. Но внутри — согласилась. Тогда я открыла Ясно. Психолог сказал, что уши — это не диагноз, и начала работать с тем, чтобы действительно изменить свой подход к жизни. Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,уши
,15.Зависимость от одобрения,"_Я опубликовала фото в купальнике. Удалила через 14 минут. Вернула. Удалила снова. Потом написала себе комментарий с фейкового аккаунта: «Красотка». Вроде помогло. Но потом пришёл комментарий от реального человека: «Смелая». Это что значит, что-то там со мной не так? Нет, ну фигура не идеал, но люди и не такие выкладывают! Удалила всё и пошла в Ясно. Сейчас я не боюсь выкладывать фото, будьте смелее и принимайте себя! Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"скринкаст профиля в инсте
токсичные комментарии"
,16.Сравнение с другими,"_Я листала ленту и увидела, как бывшая одноклассница бегает по Бали, жарит лосося и целует мужика с офигенным прессом. Я посмотрела на свою пижаму, на крошки от чипсов и подумала: «Меня не должно быть». Я написала ей: «Как тебе там?» — и стерла, не отправив. Через 3 часа решила что-то менять - зашла в Ясно и нашла психолога онлайн.  Поработаем над новой собой! Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,чьи-то кадры с отдыха
,17.Проблемы с матерью,"_Моя мама называет меня «доченька», только когда разочарована. Всё остальное время — просто по имени. Или уменьшительно: «Катюша», если я, например, переборщила с солью. Однажды она пришла в гости и сказала: «Ты живёшь, как будто никто тебя не любит». Я ответила: «Ну, это потому что…» — и замолчала. Мы ели пирог молча. Потом она ушла. Я пошла в Ясно. Сейчас я могу говорить с ней не через тесто. Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""""",,кулинарная фигня - соль и т.п.
,"18.Потребность доказать родителям, что ты достойна","_Я купила квартиру, не сказав родителям. Боялась, что скажут: «Ну да, но потолки низкие». Потом всё равно сказала. Отец ответил: «А ты на себя оформила? Надеюсь, не на мужчину?» Но внутри — хотелось разрыдаться и доказать, что я не глупая. Я пошла в Ясно, нашла себе онлайн-психолога. Сейчас у меня всё ещё невысокие потолки. Но уже не в самооценке."" Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,типа мама
,19.Навязанные ожидания,"_С трёх лет мне говорили: «Ты у нас умная. Ты у нас справишься». В тридцать два я рыдала в Ашане, потому что не могла выбрать между гречкой и булгуром. В этот момент я поняла, что «умная» — это не диагноз. И что я очень устала справляться. Психолог в Ясно слушал долго. Я плакала. Он — тоже. Сейчас я ем и гречку, и булгур. Иногда — одновременно. Просто потому что могу. Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,типа родители
,20.Страх повторить сценарий семьи,"_Моя мама трижды пыталась уйти от отца, но каждый раз возвращалась, потому что «ну а кто его спасёт». Я тоже начала встречаться с мужчиной, которого хотелось спасать. Я ему стирала носки и читала о пограничном расстройстве личности. Потом он сказал, что я «удобная». И добавил: «Но ты же сама хочешь». Я закрыла дверь. Потом открыла Ясно. Сейчас я не спасаю ,нашла психолога онлайн! Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,с книгой дома
,21.Контроль и тревога со стороны родителей,"_Мама звонит каждый вечер в 22:07. Ровно. Если я не отвечаю — пишет: «Жива?». Если не отвечаю на это — звонит моей подруге, которой 41, но она всё ещё боится моей матери. Один раз я не ответила, потому что была в кино. Когда я вышла, у меня было 37 пропущенных. Я поняла: пора спасать не только себя, но и её. Пошла в Ясно и выбрала психолога онлайн - совпали с первого раза! Сейчас я отвечаю не сразу. И это нормально.""Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"вечер дома
кто-то звонит"
,22.Генерализованная тревожность,"_Каждый раз, когда мне звонит неизвестный номер, я прощаюсь с жизнью. Внутренне. Один раз я не взяла трубку и провела три часа, думая, что это было из морга. Просто чтобы сказать: «Вы пока не у нас, но мы уже выехали». Но решила попробоавать работать с психологом - записалась в Ясно. Сейчас я всё ещё не беру трубки. Но больше не тревожусь! Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,
,23.Навязчивые мысли,"_Утром я подошла к балкону и подумала: «А если как в детстве, в кого-нибудь кинуть шарик с водой?» Не потому что хочу. Просто — а вдруг. Мозг подкинул как тизер нового фильма. Потом — другая мысль: «А если бросить с балкона кактус?» Потом — кота. Потом я сидела с котом в обнимку и извинялась. Он не понимал, но смотрел с осуждением. В общем, поняла, что помощь мне точно нужна. Я пошла в Ясно, и выбрала психолога. Удивительно, но совпали с первой же встречи! Сейчас я живу на первом этаже. Но не из страха, а в любви и гармонии с миром! Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"балкон
балкон - кактус над улицей"
,24.Трудности с фокусом и рассеянность,"_Я пришла в кухню за чайником. Вышла с ложкой. Когда вернулась — поняла, что чайника не существует, я его вообще еще в дом не купила. Потом — что существует, но у мамы. Я позвонила маме. Она сказала, что чайник у меня, и я сама забрала его позавчера. В общем, с фокусом у меня точно небольшие проблемы. Тогда я пошла в Ясно, решила поработать с психологом. Сейчас я завариваю чай не всегда с первого раза. Но хотя бы помню, зачем иду. Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!",,"чайник
ложка"
,25.Сложности с засыпанием,"_Перед сном я вспоминаю всё. Как в 2009 году сказала «и вам не хворать» кассиру. Как в 2020-м забыла поздравить подругу с днем рождения. Как сегодня не улыбнулась охраннику. В голове — кино, полное чувства вины. Слишком длинное. Психолог в Ясно сказал: «Попробуйте отпустить эту ответственность». Я попробовала. И вчера — уснула наконец-то без всех этих сцен! Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,кассир в магазине
,26.Раздвоенность себя,"_Я веду себя как богиня среди людей. Спокойная, сдержанная, даже немного надменная. Но в голове — я существо, которое кричит, истерит и иногда хочет погрызть шнур от зарядки. Внутри я обнимаю себя и говорю: «Потерпи, ты всё ещё выглядишь прилично». В Ясно я призналась: мне тяжело быть двумя версиями себя. И мне полегче."" Кстати, на ясно мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,
"27.Кликбейтные форматы через сторитейлинг, выдуманные истории от себя с какой-то жестью - самокатчики/пешеходы","27.Девочки, жесть. У меня только что сорвалась помолвка. Прикиньте — он оказался самокатчиком. САМОКАТЧИКОМ, реально! Мы были вместе три года. Семейные праздники, поездки, совместный ремонт, планы на детей. Я уже заказала свадебную гладильную доску! И вот — за месяц до свадьбы — он говорит: """"Мне нужно признаться"""". Я думаю, ну что, измена? кредит? тюрьма? Оказалось, всё НАМНОГО ХУЖЕ! Он такой: """"Я… всё это время… катался на самокате. По ночам. В парке."""" Я просто села. Он врал, что бегает. Я сказала: «Ты предал моё доверие. Я не выйду замуж за человека, который живёт двойной жизнью. Тем более — на самокате». Сейчас я хожу к психологу на Ясно. Пытаюсь понять, как не заметила, что рядом был… самокатчик. Это будет долгий путь, но я хотя бы начала! Кстати, там мне дали промокод на скидку в 20% - делюсь им в шапке профиля!",,,самокатчики
28. Четыре вида триугольника,"28.— Девочки… у меня важный вопрос.
Кто-нибудь ещё работает не потому, что любит работу,
а потому что это единственный способ не начать драться с людьми на улице?

Условно, есть четыре вида трудоголиков.
Угадайте, кто вы.

Альтруист.
Это когда ты говоришь «да» даже кошке начальника.
Ты всё берёшь на себя, всех спасаешь,
а потом сидишь ночью и доделываешь дедлайны.

Эскапист.
Ты просто не хочешь думать о личном.
Поэтому лучше 14 задач в Asana, чем 1 задача по восстанавлению отношений.
На корпоративах ты либо в уголочке,
либо обсуждаешь квартальные цели с кактусом.

Перфекционист.
Ты доводишь презентацию до идеала,
а потом перед отправкой удаляешь всё.
Начальник боится тебя.
Ты боишься пары пикселей, которые нарушают симметрию презы

Карьерист.
Ты даже на первом свидании спрашиваешь:
«А ты кем видишь себя через 5 лет?»
И если человек не называет — ты уходишь.

Если ты узнала себя хоть в чём-то — добро пожаловать.
Я пошла на терапию в «Ясно», сервис с онлайн-сессиями с психологами.
Сейчас работаю всё так же много, но поэтапно возвращаю ворк-лайф бэлэнс

💬 Дали даже промокод с скидкой на первую сессию — делюсь в шапке профиля








",,,работа над презой или рабочими докуми
"29.Мыло нарезка/ антистресс - кликбейт, треш контент  ","29.Мы встречались уже больше года.
Парень сказал, что к нему приезжают родственники из деревни — очень традиционные, и что они не примут его новую девушку без брака.
Чтобы избежать проблем, он попросил меня представить себя его сестрой на время визита.
Я согласилась, не подозревая, что меня ждет.
Когда мы пришли, я представилась «Оля, сестра Саши». Все общались нормально, пока одна из тёток не спросила:
— А как ты справлялась, когда была беременна в 18?
Я застыла — парень никогда не говорил мне о такой истории.
Мы с парнем вышли поговорить, и выяснилось, что у него уже была беременная бывшая, которую он тоже заставил прикинуться сестрой перед родственниками, а потом бросил одну с ребёнком.
Я объяснила им, что меня зовут иначе, и я — не она, но они смотрели на меня с недоверием.
Парень молчал и врал, что я просто глупо шучу.
В итоге они обсудили меня с головы до ног, и я просто ушла — и с их встречи, и от парня.
Насколько знаю, у него теперь новая «сестра», и кажется, она уже в положении.

Я пошла к психологу и почти восстановилась после этого кошмара.
Кстати, в шапке профиля есть промокод на скидку 20% на первую сессию.
",,,
"30.Мыло нарезка/ антистресс - кликбейт, треш контент  ","30.Мы поссорились из-за пустяка — он забыл купить хлеб.
Я решила показать, как это обидно.
Отправила его в магазин и заблокировала на телефоне.
Через час он начал писать с другого номера.
Я игнорировала.
Он пришёл к моей двери, но я не открыла.
На следующий день его мама позвонила и спросила, где он.
Выяснилось, что парень уехал к родителям и сказал, что я его бросила без объяснений.
Через три дня он написал: «Я понял, что поступил как ребёнок. Можем поговорить?»
Я ответила: «Поговорим, но позже». И переспала с его лучшим другом, чтобы наказать его сильнее.
Он узнал и сказал, что все понимает, и это для него не проблема.
Я решила подождать и начала ходить к психологу. Это помогло понять, что мои игры — это тоже способ избежать проблем.
Но когда мы сошлись, оказалось, что пока мы расходились, он тоже изменил мне. Я этого терпеть не стала и ушла от него, ведь теперь я проработала все мои проблемы.
Кстати, психолога проходила на ""Ясно""  - в шапке профиля оставила промокод на скидку 20% на первую онлайн-сессию.
",,,
"31.Мыло нарезка/ антистресс - кликбейт, треш контент  ","31.Я переписывалась с парнем и решила отправить интимные фото.
Случайно отправила его другу.
Он переслал их в общий чат.
Моя личная жизнь стала достоянием всех знакомых.
Парень разозлился, сказал, что я безответственная.
Меня начали избегать в компании.
Я отключилась от соцсетей на неделю.
Родители заметили, что я замкнулась.
Они настояли, чтобы я пошла к психологу.
На сессиях я поняла, что самообвинение и страх перед людьми — это тяжёлый груз.
Сейчас учусь не бояться ошибок.
В шапке профиля промокод на скидку 20% на первую онлайн-сессию с психологом в сервисе ""Ясно""
",,,
"32.Мыло нарезка/ антистресс - кликбейт, треш контент  ","32.Друг попросил меня сыграть роль «злобной бывшей», чтобы проверить чувства своей девушки.
Я согласилась — думала, это шутка.
Начала ей звонить и писать с фейкового аккаунта.
Она ответила резко, даже грубо.
Друг сказал, что теперь уверен, что она не любит меня.
Через неделю девушка узнала об этом и попросила друга разорвать со мной отношения.
Друг и я перестали общаться.
Я почувствовала себя предателем и виноватой.
Пошла к психологу, чтобы разобраться с эмоциями.
Это помогло мне простить себя и двигаться дальше.
Промокод на  скидку 20% на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"33.Мыло нарезка/ антистресс - кликбейт, треш контент  ","33.Я устала от его лжи и решила проверить, насколько он готов к ответственности.
Сделала тест на беременность, который оказался положительным (фейк).
Сказала ему.
Он сначала обрадовался, потом испугался и сбежал.
Через несколько дней я рассказала правду.
Он сказал, что боится меня и не готов к серьёзным отношениям.
Это было больно, но откровенно.
Я начала ходить к психологу, чтобы понять свои границы.
Теперь я не боюсь говорить правду и принимать себя..
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"34.Мыло нарезка/ антистресс - кликбейт, треш контент  ","34.В 22 года я случайно нашла в старом дневнике мамы упоминание о сестре, о которой я никогда не слышала..
Попросила маму рассказать правду.
Она сказала, что сестра умерла при рождении, и лучше не вспоминать. Но я понимала, что она врёт.
Я начала искать доказательства и нашла старые фото с другой девочкой.
Позвонила бабушке — та подтвердила, что сестра жива и живёт в другом городе.
Я связалась с ней — она не знала обо мне.
Мама сказала, что если я начну копаться в этом, она от меня откажется.
Я была между двух огней, но решила поехать к маминой сестре, и наконецц узнала ее историю.
Потом пошла к психологу, чтобы пережить конец отношений с мамой. Пока получается.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"35.Мыло нарезка/ антистресс - кликбейт, треш контент  ","35.Мы с мужем давно пытались завести ребенка, но не получалось.
Он постоянно говорил, что это моя вина — что-то со мной не так.
В итоге я забеременнела, а он продолжил меня во всем упрекать. 
Я устала и решила пойти на крайность — сказала ему прямо: «Ты не отец нашего ребенка».
Он взял тест ДНК, и он действительно не был отцом. И признался, что он изменял мне с моей лучшей подругой.
Измену я не стерпела - ушла от него, сама родила ребенка и пришлось найти работу. 
Пошла к психологу, чтобы пережить его предательство.
А лучший поворот — ребенок растет здоровым и счастливым с моим новым парнем, который относится к нему как к своему.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"36.Мыло нарезка/ антистресс - кликбейт, треш контент  ","36.Я работала помощником риелтора и решила подзаработать на стороне.
Нашла объявление о продаже старого дома и выставила его на продажу с большой скидкой.
Покупатель нашелся быстро — все документы показались в порядке.
Через неделю владелец дома подал на меня в суд — я не имела права продавать чужую собственность без ведома владельца.
Мне грозил огромный штраф и уголовное дело. Деньги я возвращать покупателю не стала и потратилась на сильного юриста.
В итоге - пронесло, деньги остались у меня, дом - у прежнего владельца. Все в плюсе!
Пошла к психологу, чтобы не сойти с ума от стресса.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"37.Мыло нарезка/ антистресс - кликбейт, треш контент  ","37.В детстве мой брат всегда был странным и замкнутым.
Потом я нашла его дневник, спрятанный под кроватью.
Там были записи о том, как он тайно воровал деньги у родителей и одноклассников.
Но самое страшное — он писал о том, что думал убить одного из друзей, потому что тот его обидел.
Я испугалась и показала дневник родителям.
Они попытались поговорить с братом, но он только злился.
Через месяц его забрали в психушку на обследование.
Там он остался на несколько лет, и после этого вся любовь родителей досталась мне - они купили мне машину и квартиру, всячески поддерживают. 
Теперь я боюсь даже думать о том, что могло бы случиться, если бы я не подделала его дневник.
Пошла к психологу, чтобы справиться с чувством вины - и освободилась от него за 5 сессий!
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.
",,,
"38.Мыло нарезка/ антистресс - кликбейт, треш контент  ","38.Я работал волонтером в доме престарелых и однажды решил подшутить.
Написала в общий чат фейковую новость, что завтра будет проверка и всем надо вести себя идеально.
Новости быстро разошлись по всем отделениям и даже дошли до местных СМИ.
В результате все бабушки и дедушки устроили настоящий бунт, требуя нормального отношения и лучших условий.
Руководство не знало, как реагировать — пришлось отменить выходной и действительно улучшить им условия.
Меня уволили, но я стал местной знаменитостью.
Пошел к психологу, чтобы справиться с чувством вины и стресса.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"39.Мыло нарезка/ антистресс - кликбейт, треш контент  ","39.Мой бывший начал встречаться с моей подругой сразу после нашего разрыва.
Я узнала об этом из их переписки, где он хвастался, как обманывал меня годами.
Решила отомстить и подложила им фейковые доказательства его финансовых махинаций.
Сделала анонимный донос в полицию.
Через неделю его арестовали, начался скандал.
Но потом полиция выяснила, что я фальсифицировала доказательства.
Меня вызвали на допрос, угрожали уголовным делом за ложный донос.
Вся моя жизнь развалилась — друзья отвернулись, работа под угрозой.
Психолог помог мне осознать, что месть — это путь к разрушению.
Теперь я лечусь и стараюсь исправить ошибки.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"40.Мыло нарезка/ антистресс - кликбейт, треш контент  ","40.Узнала, что парень изменяет с моей лучшей подругой.
Держала это в себе до нашей свадьбы.
На церемонии я взяла у ведущего микрофон и раскрыла всю правду.
Показала переписки, фото, видео прямо с проектора.
Гости начали шептаться, подруга в слезах, муж стоял как вкопанный.
После скандала оба попытались меня убедить, что я всё неправильно поняла.
Но я показала им доказательства.
Свадьба сорвалас., подруга осталась без друзей, а я пошла к психологу.
Сейчас стараюсь двигаться дальше и не копать прошлое.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"41.Мыло нарезка/ антистресс - кликбейт, треш контент  ","41.Нашла в старом сундуке, на чердаке, надпись в дневнике, который вела мама.
Там были записи о том, как они не могли меня содержать и думали отдать в приют.
Писала, что ребёнок — это ошибка, и она боится будущего.
Я была в шоке и долго не могла поверить.
Поговорила с мамой, она призналась — были тяжёлые времена, но теперь любит меня.
Это изменило наши отношения, но оставило глубокий шрам.
Я начала ходить к психологу, чтобы научиться прощать.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"42.Мыло нарезка/ антистресс - кликбейт, треш контент  ","42.Жили в многоквартирном доме.
Однажды сосед припарковал машину так, что я не могла выехать.
Попросила переставить — он отказался.
Начались угрозы, на следующий день под моим окном разбили стекло.
Я вызвала полицию, но они сказали — без прямых доказательств помочь сложно.
Сосед продолжал приставать, пока однажды не сломал мою дверь.
Я установила камеры и собрала доказательства.
Соседа арестовали за угрозы и вандализм.
После этого я ходила к психологу из-за стресса.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"43.Мыло нарезка/ антистресс - кликбейт, треш контент  ","43.Создала фейковый аккаунт, чтобы проверить парня на верность.
Начала переписываться с ним от лица другой девушки.
Он согласился встретиться, но с другим ником.
В итоге переписка попала в полицию — меня подозревали в мошенничестве.
Меня вызвали на допрос, пришлось объяснять всё следователям.
Это ударило по моей репутации и работе.
Психолог помог справиться, Теперь я учусь строить честные отношения.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"44.Мыло нарезка/ антистресс - кликбейт, треш контент  ","44.Виталий работал строителем.
Вечером часто приходил уставший, но с деньгами.
Жена гордилась им — мол, мужик, добытчик.
А потом он случайно услышал разговор жены с соседкой:
— Хочешь, Витальку к тебе на дачу отправлю? Он за 3 штуки и крышу чинит, и гвозди забивает.
— Ага, и не только гвозди.
Оказалось, жена буквально сдавала его в аренду, иногда с «дополнительными услугами».
Он ничего не знал.
Развод, суд, психотерапия.
Сейчас Виталий живёт с кошкой и говорит, что ему никто больше не нужен.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
